#
# cmptest.csv -- pin constraints for DE2-115 board
#

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
#GPIO[32],Bidir,PIN_AF20,4,B4_N1,3.3-V LVTTL,
#GPIO[31],Bidir,PIN_AG23,4,B4_N1,3.3-V LVTTL,
#GPIO[30],Bidir,PIN_AE20,4,B4_N1,3.3-V LVTTL,
#GPIO[29],Bidir,PIN_AF26,4,B4_N1,3.3-V LVTTL,
#GPIO[28],Bidir,PIN_AH22,4,B4_N1,3.3-V LVTTL,
#GPIO[27],Bidir,PIN_AE24,4,B4_N0,3.3-V LVTTL,
#GPIO[26],Bidir,PIN_AG22,4,B4_N1,3.3-V LVTTL,
#GPIO[25],Bidir,PIN_AE25,4,B4_N1,3.3-V LVTTL,
#GPIO[24],Bidir,PIN_AH25,4,B4_N1,3.3-V LVTTL,
#GPIO[23],Bidir,PIN_AD25,4,B4_N0,3.3-V LVTTL,
#GPIO[22],Bidir,PIN_AG25,4,B4_N1,3.3-V LVTTL,
#GPIO[21],Bidir,PIN_AD22,4,B4_N0,3.3-V LVTTL,
#GPIO[20],Bidir,PIN_AF22,4,B4_N0,3.3-V LVTTL,
#GPIO[19],Bidir,PIN_AF21,4,B4_N1,3.3-V LVTTL,
#GPIO[18],Bidir,PIN_AE22,4,B4_N0,3.3-V LVTTL,
#GPIO[17],Bidir,PIN_AC22,4,B4_N0,3.3-V LVTTL,
#GPIO[16],Bidir,PIN_AF25,4,B4_N1,3.3-V LVTTL,
#GPIO[15],Bidir,PIN_AE21,4,B4_N1,3.3-V LVTTL,
#GPIO[14],Bidir,PIN_AF24,4,B4_N1,3.3-V LVTTL,
#GPIO[13],Bidir,PIN_AF15,4,B4_N2,3.3-V LVTTL,
#GPIO[12],Bidir,PIN_AD19,4,B4_N0,3.3-V LVTTL,
#GPIO[11],Bidir,PIN_AF16,4,B4_N2,3.3-V LVTTL,
#GPIO[10],Bidir,PIN_AC19,4,B4_N0,3.3-V LVTTL,
#GPIO[9],Bidir,PIN_AE15,4,B4_N2,3.3-V LVTTL,
#GPIO[8],Bidir,PIN_AD15,4,B4_N2,3.3-V LVTTL,
#GPIO[7],Bidir,PIN_AE16,4,B4_N2,3.3-V LVTTL,
#GPIO[6],Bidir,PIN_AD21,4,B4_N0,3.3-V LVTTL,
#GPIO[5],Bidir,PIN_Y16,4,B4_N0,3.3-V LVTTL,
#GPIO[4],Bidir,PIN_AC21,4,B4_N0,3.3-V LVTTL,
#GPIO[3],Bidir,PIN_Y17,4,B4_N0,3.3-V LVTTL,
#GPIO[2],Bidir,PIN_AB21,4,B4_N0,3.3-V LVTTL,
#GPIO[1],Bidir,PIN_AC15,4,B4_N2,3.3-V LVTTL,
#GPIO[0],Bidir,PIN_AB22,4,B4_N0,3.3-V LVTTL,
#HSMC_CLKIN0,Input,PIN_AH15,4,B4_N2,3.0-V LVTTL,
#HSMC_CLKIN_P1,Input,PIN_J27,6,B6_N2,LVDS,
#HSMC_CLKIN_P2,Input,PIN_Y27,5,B5_N0,LVDS,
#HSMC_CLKOUT0,Output,PIN_AD28,5,B5_N2,2.5 V,
#HSMC_CLKOUT_P1,Output,PIN_G23,6,B6_N0,LVDS,
#HSMC_CLKOUT_P2,Output,PIN_V23,5,B5_N1,LVDS,
#HSMC_D[3],Bidir,PIN_AF27,5,B5_N2,2.5 V,
#HSMC_D[2],Bidir,PIN_AE27,5,B5_N2,2.5 V,
#HSMC_D[1],Bidir,PIN_AE28,5,B5_N2,2.5 V,
#HSMC_D[0],Bidir,PIN_AE26,5,B5_N2,2.5 V,
#HSMC_RX_D_P[16],Input,PIN_T21,5,B5_N0,LVDS,
#HSMC_RX_D_P[15],Input,PIN_R22,5,B5_N0,LVDS,
#HSMC_RX_D_P[14],Input,PIN_P21,5,B5_N0,LVDS,
#HSMC_RX_D_P[13],Input,PIN_P25,6,B6_N2,LVDS,
#HSMC_RX_D_P[12],Input,PIN_N25,6,B6_N2,LVDS,
#HSMC_RX_D_P[11],Input,PIN_L21,6,B6_N0,LVDS,
#HSMC_RX_D_P[10],Input,PIN_U25,5,B5_N0,LVDS,
#HSMC_RX_D_P[9],Input,PIN_T25,5,B5_N0,LVDS,
#HSMC_RX_D_P[8],Input,PIN_R25,5,B5_N0,LVDS,
#HSMC_RX_D_P[7],Input,PIN_M25,6,B6_N2,LVDS,
#HSMC_RX_D_P[6],Input,PIN_L23,6,B6_N1,LVDS,
#HSMC_RX_D_P[5],Input,PIN_K25,6,B6_N1,LVDS,
#HSMC_RX_D_P[4],Input,PIN_H25,6,B6_N1,LVDS,
#HSMC_RX_D_P[3],Input,PIN_G25,6,B6_N0,LVDS,
#HSMC_RX_D_P[2],Input,PIN_F26,6,B6_N1,LVDS,
#HSMC_RX_D_P[1],Input,PIN_D26,6,B6_N0,LVDS,
#HSMC_RX_D_P[0],Input,PIN_F24,6,B6_N0,LVDS,
#HSMC_TX_D_P[16],Output,PIN_U22,5,B5_N0,LVDS,
#HSMC_TX_D_P[15],Output,PIN_V27,5,B5_N1,LVDS,
#HSMC_TX_D_P[14],Output,PIN_U27,5,B5_N0,LVDS,
#HSMC_TX_D_P[13],Output,PIN_R27,5,B5_N0,LVDS,
#HSMC_TX_D_P[12],Output,PIN_V25,5,B5_N1,LVDS,
#HSMC_TX_D_P[11],Output,PIN_L27,6,B6_N2,LVDS,
#HSMC_TX_D_P[10],Output,PIN_J25,6,B6_N1,LVDS,
#HSMC_TX_D_P[9],Output,PIN_P27,6,B6_N2,LVDS,
#HSMC_TX_D_P[8],Output,PIN_J23,6,B6_N0,LVDS,
#HSMC_TX_D_P[7],Output,PIN_H23,6,B6_N0,LVDS,
#HSMC_TX_D_P[6],Output,PIN_K21,6,B6_N0,LVDS,
#HSMC_TX_D_P[5],Output,PIN_M27,6,B6_N2,LVDS,
#HSMC_TX_D_P[4],Output,PIN_K27,6,B6_N1,LVDS,
#HSMC_TX_D_P[3],Output,PIN_G27,6,B6_N1,LVDS,
#HSMC_TX_D_P[2],Output,PIN_F27,6,B6_N1,LVDS,
#HSMC_TX_D_P[1],Output,PIN_E27,6,B6_N1,LVDS,
#HSMC_TX_D_P[0],Output,PIN_D27,6,B6_N0,LVDS,
#I2C_SCLK,Output,PIN_B7,8,B8_N1,3.3-V LVTTL,
#I2C_SDAT,Bidir,PIN_A8,8,B8_N1,3.3-V LVTTL,
#IRDA_RXD,Input,PIN_Y15,3,B3_N0,3.3-V LVTTL,
#LCD_BLON,Output,PIN_L6,1,B1_N2,3.3-V LVTTL,
#LCD_DATA[7],Bidir,PIN_M5,1,B1_N2,3.3-V LVTTL,
#LCD_DATA[6],Bidir,PIN_M3,1,B1_N1,3.3-V LVTTL,
#LCD_DATA[5],Bidir,PIN_K2,1,B1_N1,3.3-V LVTTL,
#LCD_DATA[4],Bidir,PIN_K1,1,B1_N1,3.3-V LVTTL,
#LCD_DATA[3],Bidir,PIN_K7,1,B1_N1,3.3-V LVTTL,
#LCD_DATA[2],Bidir,PIN_L2,1,B1_N2,3.3-V LVTTL,
#LCD_DATA[1],Bidir,PIN_L1,1,B1_N2,3.3-V LVTTL,
#LCD_DATA[0],Bidir,PIN_L3,1,B1_N1,3.3-V LVTTL,
#LCD_EN,Output,PIN_L4,1,B1_N1,3.3-V LVTTL,
#LCD_ON,Output,PIN_L5,1,B1_N1,3.3-V LVTTL,
#LCD_RS,Output,PIN_M2,1,B1_N2,3.3-V LVTTL,
#LCD_RW,Output,PIN_M1,1,B1_N2,3.3-V LVTTL,
#OTG_ADDR[1],Output,PIN_C3,8,B8_N2,3.3-V LVTTL,
#OTG_ADDR[0],Output,PIN_H7,1,B1_N0,3.3-V LVTTL,
#OTG_CS_N,Output,PIN_A3,8,B8_N2,3.3-V LVTTL,
#OTG_DACK_N[1],Output,PIN_D4,8,B8_N2,3.3-V LVTTL,
#OTG_DACK_N[0],Output,PIN_C4,8,B8_N2,3.3-V LVTTL,
#OTG_DATA[15],Bidir,PIN_G4,1,B1_N0,3.3-V LVTTL,
#OTG_DATA[14],Bidir,PIN_F3,1,B1_N0,3.3-V LVTTL,
#OTG_DATA[13],Bidir,PIN_F1,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[12],Bidir,PIN_G3,1,B1_N0,3.3-V LVTTL,
#OTG_DATA[11],Bidir,PIN_G2,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[10],Bidir,PIN_G1,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[9],Bidir,PIN_H4,1,B1_N0,3.3-V LVTTL,
#OTG_DATA[8],Bidir,PIN_H3,1,B1_N0,3.3-V LVTTL,
#OTG_DATA[7],Bidir,PIN_H6,1,B1_N0,3.3-V LVTTL,
#OTG_DATA[6],Bidir,PIN_J7,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[5],Bidir,PIN_J3,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[4],Bidir,PIN_J4,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[3],Bidir,PIN_K3,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[2],Bidir,PIN_J5,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[1],Bidir,PIN_K4,1,B1_N1,3.3-V LVTTL,
#OTG_DATA[0],Bidir,PIN_J6,1,B1_N1,3.3-V LVTTL,
#OTG_DREQ[1],Input,PIN_B4,8,B8_N2,3.3-V LVTTL,
#OTG_DREQ[0],Input,PIN_J1,1,B1_N2,3.3-V LVTTL,
#OTG_FSPEED,Bidir,PIN_C6,8,B8_N2,3.3-V LVTTL,
#OTG_INT[1],Input,PIN_D5,8,B8_N2,3.3-V LVTTL,
#OTG_INT[0],Input,PIN_A6,8,B8_N1,3.3-V LVTTL,
#OTG_LSPEED,Bidir,PIN_B6,8,B8_N1,3.3-V LVTTL,
#OTG_RD_N,Output,PIN_B3,8,B8_N2,3.3-V LVTTL,
#OTG_RST_N,Output,PIN_C5,8,B8_N2,3.3-V LVTTL,
#OTG_WR_N,Output,PIN_A4,8,B8_N2,3.3-V LVTTL,
#SMA_CLKIN,Input,PIN_AH14,3,B3_N0,3.3-V LVTTL,
#SMA_CLKOUT,Output,PIN_AE23,4,B4_N0,3.3-V LVTTL,
#TD_CLK27,Input,PIN_B14,8,B8_N0,3.3-V LVTTL,
#TD_DATA[7],Input,PIN_F7,8,B8_N2,3.3-V LVTTL,
#TD_DATA[6],Input,PIN_E7,8,B8_N2,3.3-V LVTTL,
#TD_DATA[5],Input,PIN_D6,8,B8_N2,3.3-V LVTTL,
#TD_DATA[4],Input,PIN_D7,8,B8_N2,3.3-V LVTTL,
#TD_DATA[3],Input,PIN_C7,8,B8_N2,3.3-V LVTTL,
#TD_DATA[2],Input,PIN_D8,8,B8_N2,3.3-V LVTTL,
#TD_DATA[1],Input,PIN_A7,8,B8_N1,3.3-V LVTTL,
#TD_DATA[0],Input,PIN_E8,8,B8_N2,3.3-V LVTTL,
#TD_HS,Input,PIN_E5,8,B8_N2,3.3-V LVTTL,
#TD_RESET_N,Output,PIN_G7,8,B8_N2,3.3-V LVTTL,
#TD_VS,Input,PIN_E4,8,B8_N2,3.3-V LVTTL,
#HSMC_CLKIN_N1,Unknown,PIN_J28,6,B6_N2,LVDS,
#HSMC_CLKIN_N2,Unknown,PIN_Y28,5,B5_N0,LVDS,
#HSMC_TX_D_N[0],Unknown,PIN_D28,6,B6_N0,LVDS,
#HSMC_RX_D_N[0],Unknown,PIN_F25,6,B6_N0,LVDS,
#HSMC_RX_D_N[1],Unknown,PIN_C27,6,B6_N0,LVDS,
#HSMC_TX_D_N[1],Unknown,PIN_E28,6,B6_N1,LVDS,
#HSMC_TX_D_N[2],Unknown,PIN_F28,6,B6_N1,LVDS,
#HSMC_RX_D_N[2],Unknown,PIN_E26,6,B6_N1,LVDS,
#HSMC_TX_D_N[3],Unknown,PIN_G28,6,B6_N1,LVDS,
#HSMC_RX_D_N[3],Unknown,PIN_G26,6,B6_N0,LVDS,
#HSMC_TX_D_N[4],Unknown,PIN_K28,6,B6_N1,LVDS,
#HSMC_RX_D_N[4],Unknown,PIN_H26,6,B6_N1,LVDS,
#HSMC_TX_D_N[5],Unknown,PIN_M28,6,B6_N2,LVDS,
#HSMC_RX_D_N[5],Unknown,PIN_K26,6,B6_N1,LVDS,
#HSMC_TX_D_N[6],Unknown,PIN_K22,6,B6_N0,LVDS,
#HSMC_RX_D_N[6],Unknown,PIN_L24,6,B6_N2,LVDS,
#HSMC_TX_D_N[7],Unknown,PIN_H24,6,B6_N0,LVDS,
#HSMC_RX_D_N[7],Unknown,PIN_M26,6,B6_N2,LVDS,
#HSMC_TX_D_N[8],Unknown,PIN_J24,6,B6_N0,LVDS,
#HSMC_RX_D_N[8],Unknown,PIN_R26,5,B5_N0,LVDS,
#HSMC_TX_D_N[9],Unknown,PIN_P28,6,B6_N2,LVDS,
#HSMC_RX_D_N[9],Unknown,PIN_T26,5,B5_N0,LVDS,
#HSMC_TX_D_N[10],Unknown,PIN_J26,6,B6_N1,LVDS,
#HSMC_RX_D_N[10],Unknown,PIN_U26,5,B5_N0,LVDS,
#HSMC_TX_D_N[11],Unknown,PIN_L28,6,B6_N2,LVDS,
#HSMC_RX_D_N[11],Unknown,PIN_L22,6,B6_N0,LVDS,
#HSMC_TX_D_N[12],Unknown,PIN_V26,5,B5_N1,LVDS,
#HSMC_RX_D_N[12],Unknown,PIN_N26,6,B6_N2,LVDS,
#HSMC_TX_D_N[13],Unknown,PIN_R28,5,B5_N0,LVDS,
#HSMC_RX_D_N[13],Unknown,PIN_P26,6,B6_N2,LVDS,
#HSMC_TX_D_N[14],Unknown,PIN_U28,5,B5_N0,LVDS,
#HSMC_RX_D_N[14],Unknown,PIN_R21,5,B5_N0,LVDS,
#HSMC_TX_D_N[15],Unknown,PIN_V28,5,B5_N1,LVDS,
#HSMC_RX_D_N[15],Unknown,PIN_R23,5,B5_N0,LVDS,
#HSMC_TX_D_N[16],Unknown,PIN_V22,5,B5_N1,LVDS,
#HSMC_RX_D_N[16],Unknown,PIN_T22,5,B5_N0,LVDS,
#HSMC_CLKOUT_N2,Unknown,PIN_V24,5,B5_N1,LVDS,
#HSMC_CLKOUT_N1,Unknown,PIN_G24,6,B6_N0,LVDS,
